colonia,alcaldia,horizonte_anios,prediccion_p50,prediccion_p10,prediccion_p90,categoria_proyectada
Insurgentes San Borja,Benito Juarez,1,-0.25110502537310897,-0.2419709837719414,-0.2255854375889245,Estable
Insurgentes San Borja,Benito Juarez,3,-0.2445821729497196,-0.24506663438495788,-0.23175217981718735,Estable
Insurgentes San Borja,Benito Juarez,5,-0.2445183584983032,-0.2457284776076136,-0.22358654529327351,Estable
Irrigacion,Miguel Hidalgo,1,-0.11519351138281761,-0.15254538515499041,-0.043076386735476715,Estable
Irrigacion,Miguel Hidalgo,3,-0.10993254436483733,-0.1326258248945037,-0.04763322696011253,Estable
Irrigacion,Miguel Hidalgo,5,-0.10926111708225446,-0.12311699996218631,-0.04756634484729148,Estable
Josefa Ortiz de Dominguez,Benito Juarez,1,-0.22531984421774284,-0.23302648946277588,-0.20602221257158485,Estable
Josefa Ortiz de Dominguez,Benito Juarez,3,-0.21221242835862483,-0.22140765975075777,-0.21744281279519326,Estable
Josefa Ortiz de Dominguez,Benito Juarez,5,-0.21214861390720838,-0.2221762539033487,-0.20784815311292876,Estable
Juarez,Cuauhtemoc,1,1.4638794372726516,1.354574901018884,1.5789520498500398,Estable
Juarez,Cuauhtemoc,3,1.422276854285809,1.354574901018884,1.5162356855897516,Estable
Juarez,Cuauhtemoc,5,1.422276854285809,1.354574901018884,1.5136742044635088,Estable
Letran Valle,Benito Juarez,1,-0.19226810908867586,-0.20870766399273777,-0.18940070817108434,Estable
Letran Valle,Benito Juarez,3,-0.1838509611243161,-0.2040196837784993,-0.19059147134391505,Estable
Letran Valle,Benito Juarez,5,-0.18401793289150703,-0.20491593475573516,-0.18092989835700085,Estable
Lomas de Chapultepec Seccion III,Miguel Hidalgo,1,-0.24934035319364037,-0.25351342126546167,-0.23769238639591134,Estable
Lomas de Chapultepec Seccion III,Miguel Hidalgo,3,-0.23839949257021878,-0.2379799321293308,-0.23636320294477114,Estable
Lomas de Chapultepec Seccion III,Miguel Hidalgo,5,-0.23839949257021878,-0.24063155038737372,-0.22737238917659444,Estable
Lomas de Chapultepec Seccion IV/Lomas Virreyes,Miguel Hidalgo,1,-0.2542362524161052,-0.25954873047213295,-0.25683272130431545,Estable
Lomas de Chapultepec Seccion IV/Lomas Virreyes,Miguel Hidalgo,3,-0.24500525916488544,-0.25301926990108037,-0.24188752713687642,Estable
Lomas de Chapultepec Seccion IV/Lomas Virreyes,Miguel Hidalgo,5,-0.24500525916488544,-0.2553983183573917,-0.232767365497102,Estable
