evaluation_scope,model,horizon,origin_period,target_period,train_MAE,validation_MAE,validation_train_mae_ratio,large_gap_flag,n_train,n_validation,max_train_label_period
EVALUATION_SPATIAL_COMPARABLE,LGBM_TEMPORAL,3,2025-04,2025-07,1770.16410745924,1192.873277538708,0.6738772255702711,False,1228,34,2025-04
EVALUATION_ALL,LGBM_TEMPORAL_SPATIAL,3,2025-04,2025-07,1661.728305597732,974.8000999318292,0.5866182195056181,False,1228,57,2025-04
EVALUATION_SPATIAL_COMPARABLE,LGBM_TEMPORAL_SPATIAL,3,2025-04,2025-07,1661.728305597732,792.6505692130968,0.47700371146291354,False,1228,34,2025-04
EVALUATION_ALL,LGBM_TEMPORAL,3,2025-05,2025-08,1716.128428051,1417.6117737174573,0.8260522642395903,False,1285,72,2025-05
EVALUATION_SPATIAL_COMPARABLE,LGBM_TEMPORAL,3,2025-05,2025-08,1716.128428051,860.2018955734987,0.5012456419420932,False,1285,47,2025-05
EVALUATION_ALL,LGBM_TEMPORAL_SPATIAL,3,2025-05,2025-08,1628.2476901058753,1448.9981016838062,0.8899125793260523,False,1285,72,2025-05
EVALUATION_SPATIAL_COMPARABLE,LGBM_TEMPORAL_SPATIAL,3,2025-05,2025-08,1628.2476901058753,985.15259814899,0.6050385356818356,False,1285,47,2025-05
EVALUATION_ALL,LGBM_TEMPORAL,3,2025-06,2025-09,1654.1304768425694,937.7043779657024,0.566886585486054,False,1341,63,2025-06
EVALUATION_SPATIAL_COMPARABLE,LGBM_TEMPORAL,3,2025-06,2025-09,1654.1304768425694,916.4239943683676,0.5540215885010791,False,1341,39,2025-06
EVALUATION_ALL,LGBM_TEMPORAL_SPATIAL,3,2025-06,2025-09,1574.9050841887863,857.003336388462,0.5441618958452303,False,1341,63,2025-06
EVALUATION_SPATIAL_COMPARABLE,LGBM_TEMPORAL_SPATIAL,3,2025-06,2025-09,1574.9050841887863,809.0321420467361,0.5137021590500854,False,1341,39,2025-06
EVALUATION_ALL,LGBM_TEMPORAL,3,2025-08,2025-11,1570.1134390969912,725.2412606396263,0.4619037342019882,False,1467,65,2025-08
EVALUATION_SPATIAL_COMPARABLE,LGBM_TEMPORAL,3,2025-08,2025-11,1570.1134390969912,804.9872794448136,0.5126937069641162,False,1467,45,2025-08
EVALUATION_ALL,LGBM_TEMPORAL_SPATIAL,3,2025-08,2025-11,1473.9865589185229,711.3197822728478,0.48258227184564656,False,1467,65,2025-08
EVALUATION_SPATIAL_COMPARABLE,LGBM_TEMPORAL_SPATIAL,3,2025-08,2025-11,1473.9865589185229,751.9703795517287,0.5101609475350006,False,1467,45,2025-08
EVALUATION_ALL,LGBM_TEMPORAL,3,2025-09,2025-12,1522.8632278635364,1510.3396335125847,0.9917762842244727,False,1524,54,2025-09
EVALUATION_SPATIAL_COMPARABLE,LGBM_TEMPORAL,3,2025-09,2025-12,1522.8632278635364,1243.287170377255,0.8164142042627782,False,1524,31,2025-09
EVALUATION_ALL,LGBM_TEMPORAL_SPATIAL,3,2025-09,2025-12,1470.3956909963645,1109.8228362871714,0.7547783518973298,False,1524,54,2025-09
EVALUATION_SPATIAL_COMPARABLE,LGBM_TEMPORAL_SPATIAL,3,2025-09,2025-12,1470.3956909963645,847.798823960129,0.5765786918116215,False,1524,31,2025-09
EVALUATION_ALL,LGBM_TEMPORAL,3,2025-10,2026-01,1483.3404766337683,1144.5892590265316,0.7716294923900515,False,1586,53,2025-10
EVALUATION_SPATIAL_COMPARABLE,LGBM_TEMPORAL,3,2025-10,2026-01,1483.3404766337683,1064.4611369221318,0.7176107938062717,False,1586,31,2025-10
EVALUATION_ALL,LGBM_TEMPORAL_SPATIAL,3,2025-10,2026-01,1435.4982856441184,1469.805246724755,1.0238989913284662,False,1586,53,2025-10
EVALUATION_SPATIAL_COMPARABLE,LGBM_TEMPORAL_SPATIAL,3,2025-10,2026-01,1435.4982856441184,1527.7856122538021,1.0642894021766622,False,1586,31,2025-10
