colonia,alcaldia,periodo_prueba,valor_real,prediccion_p50,prediccion_p10,prediccion_p90,error_abs,error,dentro_p10_p90,categoria_predicha,categoria_real,categoria_acierto,prediccion_naive,error_abs_naive,error_naive
Nonoalco,Benito Juarez,2026-06,-0.1719269378222478,-0.17445358505008937,-0.1958665301918424,-0.15066618350918767,0.002526647227841572,0.002526647227841572,True,Estable,Estable,True,-0.1755366734342937,0.003609735612045889,0.003609735612045889
Nueva Santa Maria,Azcapotzalco,2026-06,-0.1946958390175534,-0.19922722429209588,-0.22819622739969908,-0.19324372587753993,0.004531385274542471,0.004531385274542471,True,Estable,Estable,True,-0.1975401965191071,0.0028443575015536793,0.0028443575015536793
Obrera,Cuauhtemoc,2026-06,0.184992623664635,0.2087653655211457,0.14753640788777353,0.7094341435067737,0.023772741856510682,-0.023772741856510682,True,Estable,Estable,True,0.1966137979275608,0.011621174262925804,-0.011621174262925804
Obrero Popular,Azcapotzalco,2026-06,-0.2886326953039406,-0.2983023680340074,-0.32378627793987835,-0.28702431698593944,0.009669672730066803,0.009669672730066803,True,Estable,Estable,True,-0.2963421265392948,0.007709431235354225,0.007709431235354225
Parque San Andres,Coyoacan,2026-06,-0.2089322719670728,-0.23509303594292894,-0.2579221033912095,-0.21499736683641316,0.02616076397585612,0.02616076397585612,False,Estable,Estable,True,-0.218952420587679,0.010020148620606184,0.010020148620606184
Piedad Narvarte,Benito Juarez,2026-06,-0.1789063340577022,-0.20080129316355352,-0.2061999890286502,-0.1800245210383653,0.02189495910585132,0.02189495910585132,False,Estable,Creciente,False,-0.2072247551013809,0.028318421043678682,0.028318421043678682
Plutarco Elias Calles,Miguel Hidalgo,2026-06,-0.2491225771685065,-0.25635972689538766,-0.29393471835519214,-0.21311011404006924,0.007237149726881165,0.007237149726881165,True,Estable,Estable,True,-0.2565189618465278,0.007396384678021284,0.007396384678021284
Polanco,Miguel Hidalgo,2026-06,1.2741347898998054,1.2231748324912382,1.0980874916761543,1.3099254813761514,0.05095995740856729,0.05095995740856729,True,Decreciente,Decreciente,True,1.2961699700947962,0.022035180194990733,-0.022035180194990733
Polanco Seccion I/ Los Morales,Miguel Hidalgo,2026-06,-0.2640600803168055,-0.27727792600041457,-0.3099973740390796,-0.23052763947282254,0.013217845683609064,0.013217845683609064,True,Estable,Estable,True,-0.2781043168011304,0.014044236484324901,0.014044236484324901
Popotla,Miguel Hidalgo,2026-06,-0.1107230454265263,-0.10072065025743838,-0.14129809221363543,-0.006201410640643808,0.010002395169087921,-0.010002395169087921,True,Estable,Estable,True,-0.1044103074311284,0.006312737995397902,-0.006312737995397902
Portales,Benito Juarez,2026-06,0.3506905362238368,0.3596654126918019,0.28735794101980966,0.43508736960626826,0.008974876467965132,-0.008974876467965132,True,Decreciente,Decreciente,True,0.4173592485697681,0.0666687123459313,-0.0666687123459313
Portales Norte,Benito Juarez,2026-06,-0.2165222264708354,-0.19781480404888888,-0.22666821856051494,-0.18052142464567347,0.018707422421946535,-0.018707422421946535,True,Estable,Estable,True,-0.2052334791687868,0.011288747302048624,-0.011288747302048624
Postal,Benito Juarez,2026-06,-0.1956243991222454,-0.20291780713527371,-0.23081111878691482,-0.19713167540502213,0.007293408013028302,0.007293408013028302,False,Estable,Estable,True,-0.1986651430957399,0.003040743973494492,0.003040743973494492
Residencial Emperadores,Benito Juarez,2026-06,-0.2748011561498173,-0.2813698774311945,-0.3085379122347411,-0.2292346295125114,0.006568721281377199,0.006568721281377199,True,Estable,Estable,True,-0.2834174316771332,0.008616275527315864,0.008616275527315864
Roma Norte,Cuauhtemoc,2026-06,2.2285538783964984,2.3023942493662233,1.377253846816294,2.532309794254944,0.07384037096972484,-0.07384037096972484,True,Creciente,Estable,False,2.2484740911303422,0.019920212733843812,-0.019920212733843812
Roma Sur,Cuauhtemoc,2026-06,0.6576194589847247,0.7609913729944865,0.6605070292939214,0.8488209809794611,0.10337191400976176,-0.10337191400976176,False,Creciente,Decreciente,False,0.6833132333881098,0.02569377440338505,-0.02569377440338505
San Alvaro,Azcapotzalco,2026-06,-0.2123469227140879,-0.2213283088623447,-0.24892056559564055,-0.21683011783388256,0.008981386148256804,0.008981386148256804,False,Estable,Estable,True,-0.2205791495681323,0.0082322268540444,0.0082322268540444
San Angel,Alvaro Obregon,2026-06,-0.3283884292776709,-0.33942887016134093,-0.36237413802560703,-0.22549691446151093,0.01104044088367001,0.01104044088367001,True,Estable,Estable,True,-0.3357559683064591,0.007367539028788173,0.007367539028788173
