colonia,alcaldia,horizonte_anios,prediccion_p50,prediccion_p10,prediccion_p90,categoria_proyectada
Independencia,Benito Juarez,1,-0.18747023146483524,-0.22797727678256655,-0.1518903256250351,Estable
Independencia,Benito Juarez,3,-0.1716071806654356,-0.2931283166186295,-0.06486746314603517,Estable
Independencia,Benito Juarez,5,-0.15574412986603595,-0.35827935645469244,0.02215539933296476,Estable
Insurgentes Mixcoac,Benito Juarez,1,-0.1145493542126769,-0.13647203896547278,-0.08073038110492928,Estable
Insurgentes Mixcoac,Benito Juarez,3,-0.15793152679136818,-0.22369958104975574,-0.056474607468125305,Estable
Insurgentes Mixcoac,Benito Juarez,5,-0.20131369937005944,-0.3109271231340387,-0.032218833831321333,Estable
Insurgentes San Borja,Benito Juarez,1,-0.3412116830422328,-0.37608132210038325,-0.317322200474593,Estable
Insurgentes San Borja,Benito Juarez,3,-0.4295264926578831,-0.5341354098323344,-0.35785804495496354,Estable
Insurgentes San Borja,Benito Juarez,5,-0.5178413022735335,-0.6921894975642857,-0.39839388943533416,Estable
Irrigacion,Miguel Hidalgo,1,-0.12586280999342822,-0.15101317907922837,-0.0963670825956471,Estable
Irrigacion,Miguel Hidalgo,3,-0.12816415558569944,-0.2036152628430999,-0.03967697339235607,Estable
Irrigacion,Miguel Hidalgo,5,-0.13046550117797065,-0.2562173466069714,0.017013135810934957,Estable
Josefa Ortiz de Dominguez,Benito Juarez,1,-0.2006562615182944,-0.25577934486542064,-0.1554422168625934,Estable
Josefa Ortiz de Dominguez,Benito Juarez,3,-0.16100760570305048,-0.32637685574442915,-0.02536547173594747,Estable
Josefa Ortiz de Dominguez,Benito Juarez,5,-0.12135894988780654,-0.39697436662343766,0.10471127339069844,Estable
Juarez,Cuauhtemoc,1,1.4663806938053894,1.408651629486651,1.5048596102865697,Estable
Juarez,Cuauhtemoc,3,1.4016544183927515,1.2284672254365363,1.5170911678362924,Estable
Juarez,Cuauhtemoc,5,1.3369281429801136,1.0482828213864215,1.529322725386015,Estable
Letran Valle,Benito Juarez,1,-0.22090379245782651,-0.25025851056459936,-0.18807149848947843,Estable
Letran Valle,Benito Juarez,3,-0.24101697592002236,-0.3290811302403409,-0.14252009401497812,Estable
Letran Valle,Benito Juarez,5,-0.26113015938221823,-0.4079037499160824,-0.09696868954047781,Estable
Lomas de Chapultepec Seccion III,Miguel Hidalgo,1,-0.29115375823546485,-0.3147468790928555,-0.2713548952856563,Estable
Lomas de Chapultepec Seccion III,Miguel Hidalgo,3,-0.3095911991172452,-0.380370561689417,-0.25019461026781964,Estable
Lomas de Chapultepec Seccion III,Miguel Hidalgo,5,-0.32802863999902554,-0.44599424428597856,-0.2290343252499829,Estable
Lomas de Chapultepec Seccion IV/Lomas Virreyes,Miguel Hidalgo,1,-0.29576814485156244,-0.31520352569972543,-0.2762948196208025,Estable
Lomas de Chapultepec Seccion IV/Lomas Virreyes,Miguel Hidalgo,3,-0.3076185566381945,-0.36592469918268344,-0.2491985809459146,Estable
Lomas de Chapultepec Seccion IV/Lomas Virreyes,Miguel Hidalgo,5,-0.3194689684248265,-0.41664587266564146,-0.2221023422710267,Estable
Lomas de Chapultepec Seccion V,Miguel Hidalgo,1,-0.3099015939346162,-0.3309798458539536,-0.2888475172983317,Estable
Lomas de Chapultepec Seccion V,Miguel Hidalgo,3,-0.3344358556134442,-0.39767061137145643,-0.2712736257045906,Estable
Lomas de Chapultepec Seccion V,Miguel Hidalgo,5,-0.3589701172922722,-0.4643613768889593,-0.25369973411084956,Estable
Mariano Escobedo,Miguel Hidalgo,1,-0.2755896282263293,-0.29324801633863146,-0.25372523410268366,Estable
Mariano Escobedo,Miguel Hidalgo,3,-0.30724827463483273,-0.36022343897173903,-0.24165509226389567,Estable
Mariano Escobedo,Miguel Hidalgo,5,-0.3389069210433361,-0.42719886160484666,-0.22958495042510768,Estable
Modelo Pensil,Miguel Hidalgo,1,-0.2548664565025074,-0.27592687181453696,-0.2308023634721658,Estable
Modelo Pensil,Miguel Hidalgo,3,-0.261860260784272,-0.32504150672036075,-0.18966798169324728,Estable
Modelo Pensil,Miguel Hidalgo,5,-0.26885406506603665,-0.37415614162618455,-0.14853359991432874,Estable
Molino del Rey,Miguel Hidalgo,1,-0.5931423942460007,-0.6132387661057996,-0.5701425706290133,Estable
Molino del Rey,Miguel Hidalgo,3,-0.6222292256226587,-0.6825183412020558,-0.5532297547716967,Estable
Molino del Rey,Miguel Hidalgo,5,-0.6513160569993167,-0.7517979162983119,-0.53631693891438,Estable
Napoles,Benito Juarez,1,0.04323026678913641,0.005818583994917956,0.08056812907942976,Estable
Napoles,Benito Juarez,3,-0.09242831208177829,-0.20466336046443365,0.019585274789101742,Estable
Napoles,Benito Juarez,5,-0.228086890952693,-0.4151453049237853,-0.04139757950122627,Estable
Narvarte,Benito Juarez,1,0.4197289377021299,0.38113564591620896,0.47583241226792017,Estable
Narvarte,Benito Juarez,3,0.5682866972842882,0.45250682192652547,0.7365971209816591,Estable
Narvarte,Benito Juarez,5,0.7168444568664465,0.523877997936842,0.9973618296953979,Estable
Narvarte Poniente,Benito Juarez,1,0.19293598263317985,0.16906744364324505,0.2158131134518757,Estable
Narvarte Poniente,Benito Juarez,3,0.09697617547462573,0.02537055850482134,0.16560756793071327,Estable
Narvarte Poniente,Benito Juarez,5,0.0010163683160716308,-0.11832632663360237,0.11540202240955083,Estable
Nextitla,Miguel Hidalgo,1,-0.26984486411459785,-0.29413368659994593,-0.2353103517996914,Estable
Nextitla,Miguel Hidalgo,3,-0.28644119435732407,-0.3593076618133684,-0.1828376574126047,Estable
Nextitla,Miguel Hidalgo,5,-0.30303752460005023,-0.4244816370267908,-0.13036496302551798,Estable
Niños Heroes de Chapultepec,Benito Juarez,1,-0.16558843804734424,-0.19953043438720375,-0.13475878780084455,Estable
Niños Heroes de Chapultepec,Benito Juarez,3,-0.153710971364867,-0.2555369603844455,-0.0612220206253679,Estable
Niños Heroes de Chapultepec,Benito Juarez,5,-0.14183350468238973,-0.3115434863816873,0.012314746550108752,Estable
Noche Buena,Benito Juarez,1,-0.40368455319673713,-0.43518339736008715,-0.36208073028419024,Estable
Noche Buena,Benito Juarez,3,-0.5297714992945163,-0.6242680317845664,-0.40496003055687546,Estable
Noche Buena,Benito Juarez,5,-0.6558584453922953,-0.8133526662090453,-0.44783933082956073,Estable
Nonoalco,Benito Juarez,1,-0.2786247032056012,-0.3079535334375798,-0.24782022923882174,Estable
Nonoalco,Benito Juarez,3,-0.368283163867809,-0.4562696545637449,-0.2758697419674709,Estable
Nonoalco,Benito Juarez,5,-0.4579416245300169,-0.6045857756899101,-0.30391925469611997,Estable
Nueva Santa Maria,Azcapotzalco,1,-0.2178800729494436,-0.24508016274272093,-0.1549207369259405,Estable
Nueva Santa Maria,Azcapotzalco,3,-0.21450155633315995,-0.29610182571299193,-0.025623548262650675,Estable
Nueva Santa Maria,Azcapotzalco,5,-0.21112303971687632,-0.34712348868326304,0.10367364040063917,Estable
Obrera,Cuauhtemoc,1,0.3901861696415487,0.2414989393674411,0.4765186922192911,Estable
Obrera,Cuauhtemoc,3,0.48515663498373934,0.03909494416141662,0.7441542027169666,Estable
Obrera,Cuauhtemoc,5,0.5801271003259301,-0.1633090510446079,1.0117897132146423,Estable
Obrero Popular,Azcapotzalco,1,-0.34154867563280755,-0.3826853362843299,-0.2683076380612723,Estable
Obrero Popular,Azcapotzalco,3,-0.387137140343362,-0.510547122297929,-0.16741402762875615,Estable
Obrero Popular,Azcapotzalco,5,-0.4327256050539164,-0.6384089083115281,-0.06652041719624002,Estable
Parque San Andres,Coyoacan,1,-0.21228735946869795,-0.24319526114991222,-0.18486503015300265,Estable
Parque San Andres,Coyoacan,3,-0.13230662604092552,-0.22503033108456832,-0.050039638093839656,Estable
Parque San Andres,Coyoacan,5,-0.052325892613153124,-0.20686540101922446,0.08478575396532334,Estable
Piedad Narvarte,Benito Juarez,1,-0.17542280759357298,-0.22475031152981223,-0.13956804777506834,Estable
Piedad Narvarte,Benito Juarez,3,-0.15554874214075548,-0.3035312539494732,-0.04798446268524156,Estable
Piedad Narvarte,Benito Juarez,5,-0.13567467668793798,-0.3823121963691342,0.04359912240458522,Estable
Plutarco Elias Calles,Miguel Hidalgo,1,-0.26944164589002295,-0.30161574895871446,-0.2360660547414778,Estable
Plutarco Elias Calles,Miguel Hidalgo,3,-0.2691820321521463,-0.3657043413582209,-0.16905525870651078,Estable
Plutarco Elias Calles,Miguel Hidalgo,5,-0.26892241841426967,-0.4297929337577273,-0.1020444626715438,Estable
Polanco,Miguel Hidalgo,1,1.3324123807640404,1.2935811189020758,1.3677671153921802,Estable
Polanco,Miguel Hidalgo,3,1.4807973147194955,1.3643035291336014,1.5868615186039146,Estable
Polanco,Miguel Hidalgo,5,1.6291822486749503,1.4350259393651272,1.805955921815649,Estable
Polanco Seccion I/ Los Morales,Miguel Hidalgo,1,-0.3191027382196626,-0.3375569109142276,-0.29603318738642354,Estable
Polanco Seccion I/ Los Morales,Miguel Hidalgo,3,-0.35360023582938843,-0.40896275391308345,-0.28439158332967124,Estable
Polanco Seccion I/ Los Morales,Miguel Hidalgo,5,-0.3880977334391143,-0.4803685969119393,-0.27274997927291894,Estable
Popotla,Miguel Hidalgo,1,-0.08461162201455012,-0.11756597749046697,-0.06213770503991917,Estable
Popotla,Miguel Hidalgo,3,-0.04472898877356264,-0.14359205520131318,0.022692762150330226,Estable
Popotla,Miguel Hidalgo,5,-0.004846355532575161,-0.16961813291215944,0.10752322934057962,Estable
Portales,Benito Juarez,1,0.5159860082242025,0.4695150999268031,0.5741732079587734,Estable
Portales,Benito Juarez,3,0.7556418965753864,0.6162291716831882,0.930203495779099,Estable
Portales,Benito Juarez,5,0.9952977849265703,0.7629432434395733,1.2862337835994246,Estable
Portales Norte,Benito Juarez,1,-0.3064493727755062,-0.3390052252157434,-0.2715519360379245,Estable
Portales Norte,Benito Juarez,3,-0.399375941452305,-0.4970434987730165,-0.2946836312395597,Estable
Portales Norte,Benito Juarez,5,-0.49230251012910375,-0.6550817723302896,-0.3178153264411949,Estable
Postal,Benito Juarez,1,-0.19245327982980864,-0.2284999676037585,-0.1619648886757996,Estable
Postal,Benito Juarez,3,-0.17933228243993996,-0.2874723457617895,-0.08786710897791288,Estable
Postal,Benito Juarez,5,-0.16621128505007127,-0.3464447239198205,-0.01376932928002611,Estable
Residencial Emperadores,Benito Juarez,1,-0.3872177647559528,-0.423365506968115,-0.359728088645231,Estable
Residencial Emperadores,Benito Juarez,3,-0.47889679559523674,-0.5873400222317231,-0.3964277672630711,Estable
Residencial Emperadores,Benito Juarez,5,-0.5705758264345206,-0.7513145374953313,-0.4331274458809113,Estable
Roma Norte,Cuauhtemoc,1,2.441823031866845,2.3939140289229255,2.4808548721747608,Estable
Roma Norte,Cuauhtemoc,3,2.4692659171440097,2.3255389083122506,2.5863614380677564,Estable
Roma Norte,Cuauhtemoc,5,2.4967088024211743,2.2571637877015758,2.6918680039607525,Estable
Roma Sur,Cuauhtemoc,1,0.8650363911926037,0.8096189497673539,0.913382239054905,Estable
Roma Sur,Cuauhtemoc,3,0.9221099133821207,0.7558575891063715,1.0671474569690245,Estable
Roma Sur,Cuauhtemoc,5,0.9791834355716377,0.7020962284453889,1.220912674883144,Estable
San Alvaro,Azcapotzalco,1,-0.23650003094612515,-0.2770065162150848,-0.17275692429881748,Estable
San Alvaro,Azcapotzalco,3,-0.2510422538540299,-0.37256170966090885,-0.05981293391210682,Estable
San Alvaro,Azcapotzalco,5,-0.2655844767619346,-0.4681169031067329,0.05313105647460384,Estable
San Angel,Alvaro Obregon,1,-0.32506150562107616,-0.3773014392765901,-0.28810099905776215,Estable
San Angel,Alvaro Obregon,3,-0.2730512345310607,-0.42977103549760254,-0.16216971484111864,Estable
San Angel,Alvaro Obregon,5,-0.2210409634410453,-0.482240631718615,-0.036238430624475126,Estable
San Diego Churubusco,Coyoacan,1,-0.2109176703684112,-0.25576616942394303,-0.17536511988307335,Estable
San Diego Churubusco,Coyoacan,3,-0.14320101980014352,-0.277746516966739,-0.03654336834412997,Estable
San Diego Churubusco,Coyoacan,5,-0.07548436923187585,-0.299726864509535,0.10227838319481342,Estable
San Jose Insurgentes,Benito Juarez,1,-0.13046646141526402,-0.15734487189267857,-0.10173664541177128,Estable
San Jose Insurgentes,Benito Juarez,3,-0.14934648908246356,-0.22998172051470722,-0.06315704107198536,Estable
San Jose Insurgentes,Benito Juarez,5,-0.1682265167496631,-0.30261856913673585,-0.02457743673219942,Estable
San Mateo,Coyoacan,1,-0.24073388924957584,-0.2771719832471958,-0.2054881140771956,Estable
San Mateo,Coyoacan,3,-0.19075716804615925,-0.3000714500390191,-0.08501984252901859,Estable
San Mateo,Coyoacan,5,-0.14078044684274268,-0.32297091683084245,0.035448429019158456,Estable
San Miguel Chapultepec,Miguel Hidalgo,1,0.11142186984656186,0.08917847478837887,0.13261314095376692,Estable
San Miguel Chapultepec,Miguel Hidalgo,3,0.1939484897449763,0.12721830457042735,0.2575223030665915,Estable
San Miguel Chapultepec,Miguel Hidalgo,5,0.2764751096433907,0.16525813435247583,0.38243146517941606,Estable
San Pedro de los Pinos,Benito Juarez,1,-0.011825701630547185,-0.038012423969401146,0.023065158129754647,Estable
San Pedro de los Pinos,Benito Juarez,3,-0.09396017416304045,-0.17252034117960235,0.010712405117865038,Estable
San Pedro de los Pinos,Benito Juarez,5,-0.1760946466955337,-0.3070282583898035,-0.0016403478940245665,Estable
San Rafael,Cuauhtemoc,1,0.6053565492686457,0.5509510414585708,0.6463826843889989,Estable
San Rafael,Cuauhtemoc,3,0.5530088790533363,0.3897923556231115,0.676087284414396,Estable
San Rafael,Cuauhtemoc,5,0.500661208838027,0.2286336697876522,0.7057918844397931,Estable
San Salvador Xochimanca,Azcapotzalco,1,-0.33198972151305206,-0.3529445119107747,-0.25358969101811796,Estable
San Salvador Xochimanca,Azcapotzalco,3,-0.38941112660935356,-0.4522754978025215,-0.15421103512455134,Estable
San Salvador Xochimanca,Azcapotzalco,5,-0.44683253170565507,-0.5516064836942683,-0.05483237923098469,Estable
San Simon Ticumac,Benito Juarez,1,-0.06508818987493115,-0.11302371393393124,-0.03494800022725483,Estable
San Simon Ticumac,Benito Juarez,3,0.001884626265923256,-0.141921945911077,0.09230519520895214,Estable
San Simon Ticumac,Benito Juarez,5,0.06885744240677763,-0.17082017788822282,0.21955839064515914,Estable
Santa Catarina,Coyoacan,1,-0.09701946212896244,-0.1382967446683458,-0.06987010912891942,Estable
Santa Catarina,Coyoacan,3,-0.018185145921622237,-0.14201699353977232,0.06326291307850682,Estable
Santa Catarina,Coyoacan,5,0.06064917028571795,-0.14573724241119884,0.19639593528593308,Estable
Santa Cruz Atoyac,Benito Juarez,1,-0.1544411073852775,-0.17513450016115,-0.12596892592445721,Estable
Santa Cruz Atoyac,Benito Juarez,3,-0.22769694850638417,-0.2897771268340017,-0.14228040412392326,Estable
Santa Cruz Atoyac,Benito Juarez,5,-0.3009527896274908,-0.40441975350685333,-0.15859188232338928,Estable
Santa Maria la Ribera,Cuauhtemoc,1,1.7420639994479603,1.649343762559298,1.845910547061989,Creciente
Santa Maria la Ribera,Cuauhtemoc,3,2.258923839096137,1.9807631284301506,2.570463481938223,Creciente
Santa Maria la Ribera,Cuauhtemoc,5,2.7757836787443138,2.3121824943010028,3.295016416814457,Creciente
Santo Tomas,Miguel Hidalgo,1,-0.33538981859784495,-0.35537781299562904,-0.30118694665835455,Estable
