zone_id,colonia,alcaldia,aliases,geometry_available,n_estaciones_catalogo_actual,station_history_available
col_df8f37e24dff550bb52ef711568f9cb7,Obrera,Cuauhtemoc,"[""Obrera""]",True,13,False
col_9b8d9872383b59f7a23d22ab97fc79d8,Roma Norte,Cuauhtemoc,"[""Roma Norte""]",True,37,False
col_a20da3b32dc95373bfc155a68e4197fa,Roma Sur,Cuauhtemoc,"[""Roma Sur""]",True,15,False
col_ffeedd6a32945225b84ecc416148dd76,San Rafael,Cuauhtemoc,"[""San Rafael""]",True,12,False
col_bd478b6a570f533f803bd0118bf3f055,Santa Maria la Ribera,Cuauhtemoc,"[""Santa Maria la Ribera""]",True,17,False
col_0f6878a834535080af77fae943ae9b95,Tabacalera,Cuauhtemoc,"[""Tabacalera""]",True,7,False
col_e38591c35bd05184a3caa0318add5f06,Agricultura,Miguel Hidalgo,"[""Agricultura""]",True,2,False
col_2d383baad6155258af666ad388181e00,Ampliacion Granada,Miguel Hidalgo,"[""Ampliacion Granada""]",False,3,False
col_49351caf73a652ba8bcc7655ce37dd18,Anahuac,Miguel Hidalgo,"[""Anahuac""]",True,10,False
col_3d725e14185a5c38a7d3e1cda93adc73,Anahuac I Seccion,Miguel Hidalgo,"[""Anahuac I Seccion""]",False,5,False
col_926ff32000a751399a54daad7479254d,Anzures,Miguel Hidalgo,"[""Anzures""]",True,9,False
col_a4784e1d94d556b3b35e2f91d799fbf4,Bosque de Chapultepec,Miguel Hidalgo,"[""Bosque de Chapultepec""]",False,3,False
col_6e932760ad7e5318b2922fea188ea3f8,Cuauhtemoc Pensil,Miguel Hidalgo,"[""Cuauhtemoc Pensil""]",True,1,False
col_f1b446f58ae65b7f8a814bab39bf17dc,Escandon,Miguel Hidalgo,"[""Escandon""]",True,13,False
